2,"Amaris Hotel Pakuan 20",521481,"https://static.misteraladin.com/images/hotel/0000041000/0000040489/amaris-hotel-pakuan-bogor.400x225.jpg"
1,"Sampit Residence by Flat06",398999,"https://static.misteraladin.com/images/hotel/0000009000/0000008979/8979_flat-06-sampit-residence-photo11.400x225.jpg"
1,"Diradja Hotel",495000,"https://static.misteraladin.com/images/hotel/0000041000/0000040838/diradja-hotel-photo3.400x225.jpg"
1,"Pomelotel",551282,"https://static.misteraladin.com/images/hotel/0000001000/0000000558/558_pomelotel-hotel17.400x225.jpg"
1,"N1 Hotel",285000,"https://static.misteraladin.com/images/hotel/0000009000/0000008540/n1-hotel-photo21.400x225.jpg"
1,"P Hotel",420000,"https://static.misteraladin.com/images/hotel/0000040000/0000039689/p-hotel-photo1.400x225.jpg"
2,"Zest Hotel 20",618310,"https://static.misteraladin.com/images/hotel/0000039000/0000038935/zest-hotel-bogor-photo.400x225.jpg"
1,"Amaris Hotel Tebet 10",470000,"https://static.misteraladin.com/images/hotel/0000001000/0000000877/amaris-hotel-tebet-jakarta-photo13.400x225.jpg"
4,"Pesona Hotel Cikarang",275001,"https://static.misteraladin.com/images/hotel/0000071000/0000070262/pesona-hotel-cikarang-photo14.400x225.jpg"
1,"The Acacia 10",615000,"https://static.misteraladin.com/images/hotel/0000039000/0000038998/the-acacia-jakarta-photo.400x225.jpg"
1,"SARE Suites",298999,"https://static.misteraladin.com/images/hotel/0000042000/0000041666/sare-suites-photo2.400x225.jpg"
1,"Sparks Life 10",500000,"https://static.misteraladin.com/images/hotel/0000009000/0000008318/sparks-life-jakarta-photo18.400x225.jpg"
1,"Menteng House",450001,"https://static.misteraladin.com/images/hotel/0000042000/0000041691/menteng-house-photo1.400x225.jpg"
1,"Hotel Bintang Griyawisata",400000,"https://static.misteraladin.com/images/hotel/0000009000/0000008448/hotel-bintang-griyawisata-photo8.400x225.jpg"
3,"Yasmin Karawaci",524999,"https://static.misteraladin.com/images/hotel/0000041000/0000040339/yasmin-karawaci12.400x225.jpg"
1,"Morrissey Hotel Residences",1386001,"https://static.misteraladin.com/images/hotel/0000066000/0000065929/morrissey-hotel-residences-photo16.400x225.jpg"
1,"Putri Duyung Ancol",1455300,"https://static.misteraladin.com/images/hotel/0000039000/0000038976/putri-duyung-ancol-photo7.400x225.jpg"
1,"Amaris Hotel Senen",437500,"https://static.misteraladin.com/images/hotel/0000001000/0000000712/amaris-hotel-senen-photo.400x225.jpg"
4,"L'Imperial Spatel",227500,"https://static.misteraladin.com/images/hotel/0000082000/0000081030/limperial-spalet-photo.400x225.jpg"
3,"Amaris Hotel Citra Raya - 30",488400,"https://static.misteraladin.com/images/hotel/0000043000/0000042065/amaris-hotel-citra-raya-tangerang-photo.400x225.jpg"
1,"Gran Melia 10",1633500,"https://static.misteraladin.com/images/hotel/0000001000/0000000573/gran-melia-jakarta-photo9.400x225.jpg"
